IP Address,Domain Name,Abuse Confidence Score,Country Code,Internet Service Provider,Total Reports,Last Reported Date,VT Harmless Score,VT Undetected Score,VT Malicious Score,VT Suspicious Score
185.171.202.9,dyjix.eu,100,FR,Dyjix Association,28,2024-02-24T03:48:28+00:00,57,22,9,2
172.12.0.55,att.com,25,US,AT&T Corp.,18,2024-02-09T03:16:37+00:00,63,27,0,0
52.101.73.11,microsoft.com,4,NL,Microsoft Corporation,4,2024-02-23T07:00:06+00:00,66,24,0,0
52.101.73.2,microsoft.com,1,NL,Microsoft Corporation,4,2024-01-18T02:30:05+00:00,67,23,0,0
52.101.68.12,microsoft.com,0,IE,Microsoft Corporation,1,2024-02-02T07:00:08+00:00,65,25,0,0
52.101.73.24,microsoft.com,1,NL,Microsoft Corporation,3,2024-01-18T15:00:08+00:00,66,23,1,0
52.101.68.32,microsoft.com,2,IE,Microsoft Corporation,5,2024-01-18T17:30:04+00:00,67,23,0,0
52.101.68.0,microsoft.com,1,IE,Microsoft Corporation,2,2024-01-19T02:30:04+00:00,67,23,0,0
52.101.73.8,microsoft.com,3,NL,Microsoft Corporation,3,2024-02-19T11:00:09+00:00,67,23,0,0
52.101.73.21,microsoft.com,2,NL,Microsoft Corporation,4,2024-01-18T23:30:09+00:00,66,24,0,0
52.101.68.25,microsoft.com,0,IE,Microsoft Corporation,0,,0,90,0,0
52.101.73.4,microsoft.com,2,NL,Microsoft Corporation,4,2024-02-01T12:30:05+00:00,67,23,0,0
46.101.88.32,digitalocean.com,11,GB,DigitalOcean LLC,2,2024-02-23T02:15:25+00:00,64,25,1,0
52.101.68.29,microsoft.com,0,IE,Microsoft Corporation,0,,0,90,0,0
52.101.68.36,microsoft.com,2,IE,Microsoft Corporation,3,2024-01-18T23:00:06+00:00,67,23,0,0
52.101.73.30,microsoft.com,4,NL,Microsoft Corporation,4,2024-02-22T10:30:05+00:00,65,25,0,0
52.101.68.3,microsoft.com,2,IE,Microsoft Corporation,3,2024-01-18T21:00:06+00:00,66,24,0,0
52.101.73.28,microsoft.com,3,NL,Microsoft Corporation,4,2024-02-03T07:30:07+00:00,66,24,0,0
52.101.68.16,microsoft.com,4,IE,Microsoft Corporation,4,2024-02-23T07:30:06+00:00,67,23,0,0
52.101.68.39,microsoft.com,0,IE,Microsoft Corporation,0,,65,25,0,0
52.101.68.18,microsoft.com,2,IE,Microsoft Corporation,3,2024-01-18T22:30:05+00:00,66,24,0,0
